2026-05-15 17:25:11,572 | INFO | src.main | lifespan:28 | Application ready
2026-05-15 17:25:11,749 | INFO | src.main | lifespan:26 | Initializing database tables
2026-05-15 17:25:11,750 | INFO | src.main | lifespan:28 | Application ready
2026-05-15 17:25:11,793 | INFO | src.main | lifespan:26 | Initializing database tables
2026-05-15 17:25:11,794 | INFO | src.main | lifespan:28 | Application ready
2026-05-15 17:25:11,881 | INFO | src.main | lifespan:26 | Initializing database tables
2026-05-15 17:25:11,883 | INFO | src.main | lifespan:28 | Application ready
2026-05-15 17:25:11,905 | INFO | src.main | journal_clear_all:113 | Cleared all journal entries (5 rows)
2026-05-15 17:54:10,828 | INFO | src.core.database | init_db:46 | pgvector extension verified/created successfully
2026-05-15 17:54:11,530 | INFO | src.core.database | init_db:49 | Database tables created successfully
2026-05-15 17:54:11,531 | INFO | __main__ | run_collector:45 | Starting Telegram Journal Ingestion Routine...
2026-05-15 17:54:12,225 | INFO | __main__ | run_collector:61 | Retrieved 1 pending updates.
2026-05-15 17:54:13,031 | INFO | __main__ | run_collector:91 | Ingesting text entry (len=28) from authorized user
2026-05-15 17:54:13,031 | INFO | __main__ | run_collector:109 | Routing new entry to JournalAnalyzer
2026-05-15 17:54:29,348 | INFO | __main__ | run_collector:147 | Acknowledging read state to Telegram up to Offset: 201174457
2026-05-15 17:54:29,912 | INFO | __main__ | run_collector:154 | Ingestion completed. Saved 1 entries safely to Supabase.
2026-05-15 17:57:05,280 | INFO | src.core.database | init_db:46 | pgvector extension verified/created successfully
2026-05-15 17:57:05,590 | INFO | src.core.database | init_db:49 | Database tables created successfully
2026-05-15 17:57:05,816 | INFO | __main__ | run_weekly_report:33 | Found 4 entries for the weekly report.
2026-05-15 17:57:06,105 | INFO | __main__ | run_weekly_report:59 | Generating report via Groq...
2026-05-15 17:57:08,328 | INFO | __main__ | run_weekly_report:67 | Weekly report sent successfully.
2026-05-15 18:00:33,823 | INFO | src.main | lifespan:25 | Initializing database tables
2026-05-15 18:00:33,825 | INFO | src.main | lifespan:27 | Application ready
2026-05-15 18:00:33,875 | INFO | src.main | lifespan:25 | Initializing database tables
2026-05-15 18:00:33,879 | INFO | src.main | lifespan:27 | Application ready
2026-05-15 18:00:40,908 | INFO | src.main | lifespan:25 | Initializing database tables
2026-05-15 18:00:40,909 | INFO | src.main | lifespan:27 | Application ready
2026-05-15 18:00:40,936 | INFO | src.main | lifespan:25 | Initializing database tables
2026-05-15 18:00:40,937 | INFO | src.main | lifespan:27 | Application ready
2026-05-15 18:00:40,962 | INFO | src.main | lifespan:25 | Initializing database tables
2026-05-15 18:00:40,963 | INFO | src.main | lifespan:27 | Application ready
2026-05-15 18:00:40,996 | INFO | src.main | lifespan:25 | Initializing database tables
2026-05-15 18:00:40,998 | INFO | src.main | lifespan:27 | Application ready
2026-05-15 18:00:41,099 | INFO | src.main | lifespan:25 | Initializing database tables
2026-05-15 18:00:41,101 | INFO | src.main | lifespan:27 | Application ready
2026-05-15 18:00:41,137 | INFO | src.main | lifespan:25 | Initializing database tables
2026-05-15 18:00:41,139 | INFO | src.main | lifespan:27 | Application ready
2026-05-15 18:00:41,222 | INFO | src.main | lifespan:25 | Initializing database tables
2026-05-15 18:00:41,223 | INFO | src.main | lifespan:27 | Application ready
2026-05-15 18:00:41,238 | INFO | src.main | journal_clear_all:112 | Cleared all journal entries (5 rows)
2026-05-23 06:40:38,384 | INFO | src.main | lifespan:25 | Initializing database tables
2026-05-23 06:40:38,387 | INFO | src.main | lifespan:27 | Application ready
2026-05-23 06:40:38,410 | INFO | src.main | lifespan:25 | Initializing database tables
2026-05-23 06:40:38,411 | INFO | src.main | lifespan:27 | Application ready
2026-05-23 06:40:49,745 | INFO | src.main | lifespan:25 | Initializing database tables
2026-05-23 06:40:49,746 | INFO | src.main | lifespan:27 | Application ready
2026-05-23 06:40:49,760 | INFO | src.main | lifespan:25 | Initializing database tables
2026-05-23 06:40:49,761 | INFO | src.main | lifespan:27 | Application ready
2026-05-23 06:40:49,775 | INFO | src.main | lifespan:25 | Initializing database tables
2026-05-23 06:40:49,776 | INFO | src.main | lifespan:27 | Application ready
2026-05-23 06:40:49,794 | INFO | src.main | lifespan:25 | Initializing database tables
2026-05-23 06:40:49,794 | INFO | src.main | lifespan:27 | Application ready
2026-05-23 06:40:49,849 | INFO | src.main | lifespan:25 | Initializing database tables
2026-05-23 06:40:49,850 | INFO | src.main | lifespan:27 | Application ready
2026-05-23 06:40:49,873 | INFO | src.main | lifespan:25 | Initializing database tables
2026-05-23 06:40:49,874 | INFO | src.main | lifespan:27 | Application ready
